prim_cusip,innet,ln_sales,name
"58733",1,5.871137,"Merant plc"
"94353",1,5.852803,"Wavelink Corp"
"45811",1,5.843191,"Intacta Technologies Inc"
"11434",1,5.842413,"Brooks-PRI Automation Inc"
"56275",1,5.82364,"Manhattan Associates Inc"
"46203",1,5.821903,"ICOLS"
"98233",1,5.820463,"Wright Express Corp"
"20334",1,5.817263,"Communication Intelligence"
"30325",1,5.799541,"Fair Isaac & Co Inc"
"76657",1,5.798635,"RightNow Technologies Inc"
"88715",1,5.782248,"Time America Inc"
"45327",1,5.779882,"Aspen Technology Inc"
"71356",1,5.778052,"Per-Se Technologies Inc"
"83591",1,5.772407,"Sonus Networks Inc"
"68379",1,5.760475,"Openstream Inc"
"53487",1,5.719065,"Avant! Corp"
"20051",1,5.71225,"CommerceNet"
"65334",1,5.691349,"Nexus Software Inc(Diebold)"
"24784",1,5.671139,"Deltek Inc"
"72581",1,5.670281,"Pivotal Corp"
"86355",1,5.656887,"Structural Dynamics Research"
"83545",1,5.638554,"Sonic Foundry Inc"
"99849",1,5.626696,"Borland Software Corp"
"22100",1,5.618882,"CorVel Corp"
"70962",1,5.612756,"Pentafour Software & Exports"
"73612",1,5.595852,"Sun Microsystems Inc"
"56501",1,5.594577,"Manugistics Group Inc"
"92765",1,5.557577,"Virgin Interactive Entertain"
"36268",1,5.553626,"Gaiam Inc"
"64107",1,5.541483,"Net One Systems Co Ltd"
"88740",1,5.535612,"TimeSys Corp"
"28248",1,5.527328,"Eidos PLC"
"04518",1,5.522816,"AsiaInfo Holdings Inc"
"02342",1,5.521881,"Amdocs Ltd"
"98992",1,5.520857,"Zomax  Inc"
"89364",1,5.520669,"TransDimension Inc"
"24230",1,5.495963,"Deal Group Media PLC"
"52465",1,5.495532,"Legato Systems Inc"
"74993",1,5.49021,"R2 Technology Inc"
"22841",1,5.490123,"Crown Medical Systems Inc"
"44877",1,5.482974,"i-Security Solutions"
"76857",1,5.469772,"Riverbed Technology Inc"
"18049",1,5.44543,"Clarify Inc"
"73930",1,5.445253,"Powerlan Ltd"
"54141",1,5.435223,"Logica Holdings Inc"
"75720",1,5.431681,"Redback Networks Inc"
"25615",1,5.428937,"Documentum Inc"
"26989",1,5.425549,"Ekser SA"
"34985",1,5.425267,"Forval Creative Inc"
"45727",1,5.413805,"Inktomi Corp"
"45105",1,5.404095,"Icron Technologies Corp"
"83092",1,5.3779,"SkillSoft PLC"
"20670",1,5.377549,"Concur Tech Inc"
"30244",1,5.372371,"FDN Inc"
"76932",1,5.355444,"Riverstone Networks Inc"
"69888",1,5.34552,"PAR Technology Corp"
"81749",1,5.342836,"SERENA Software Inc"
"14077",1,5.339243,"Carbiz.com Inc"
"92846",1,5.323293,"Vital Images Inc"
"45678",1,5.315631,"Infosoft International Inc"
"83547",1,5.299312,"SonicWALL Inc"
"60470",1,5.251923,"Mirasys Ltd"
"11201",1,5.232215,"Broderbund Software Inc"
"58937",1,5.22894,"Mercury Computer Systems Inc"
"90131",1,5.22658,"24/7 Media Inc"
"78401",1,5.225397,"SCM Microsystems Inc"
"45232",1,5.223518,"Illumina Inc"
"53955",1,5.223475,"LocatioNet Inc"
"86323",1,5.21599,"Striata Inc"
"82554",1,5.195326,"Shrink Nanotechnologies Inc"
"94768",1,5.191923,"Websense Inc"
"90147",1,5.187313,"Twin Communication Inc"
"64446",1,5.180721,"New Generation Computing Inc"
"91732",1,5.175172,"USTelematics Inc"
"85566",1,5.174516,"StatCom LLC"
"11776",1,5.174086,"BSquare Corp"
"16688",1,5.165334,"Cheyenne Software Inc"
"85526",1,5.161369,"StarCite Inc"
"7974",1,5.14292,"Advent Software Inc"
"71721",1,5.142739,"Phase Forward Inc"
"98985",1,5.130709,"ZyLAB North America LLC"
"98586",1,5.125023,"Boole & Babbage Inc"
"25379",1,5.115584,"Digex Inc-Industrial Strength"
"55918",1,5.106212,"Magma Design Automation Inc"
"59814",1,5.091262,"Midway Games Inc"
"45236",1,5.090425,"ILOG SA"
"88326",1,5.09021,"Thaon Communications Inc"
"48887",1,5.06682,"Kenexa Corp"
"81169",1,5.064511,"SeaChange International Inc"
"53631",1,5.051137,"Liquid Audio Inc"
"65365",1,5.038011,"NICE Systems Ltd"
"45233",1,5.037868,"Illuminet Holdings Inc"
"41029",1,4.99894,"Handango"
"23792",1,4.996962,"DataMirror Corp"
"90403",1,4.994878,"Ultrexx Corp"
"71915",1,4.979385,"Phoenix Technologies Ltd"
"64120",1,4.978704,"Networld Inc"
"86737",1,4.974282,"SunLink Health Systems Inc"
"82840",1,4.969216,"Silverline Technologies Ltd"
"23294",1,4.963299,"Cybersurf Corp"
"24785",1,4.962964,"Deltek Systems Inc"
"48853",1,4.959707,"Kenan Systems Corp(Lucent)"
"59509",1,4.942564,"Micromuse Inc"
"37193",1,4.942413,"Genesys Telecommun Labs"
"68313",1,4.929982,"Barra Inc"
"91935",1,4.917525,"Blackboard Inc"
"92672",1,4.897235,"Viewlogic Systems Inc"
"83546",1,4.896899,"Sonic Solutions"
"46116",1,4.8898,"IntraLinks Inc"
"31749",1,4.877081,"Financial Fusion Inc"
"14443",1,4.866827,"Carreker Corp"
"15918",1,4.861199,"ChannelPoint Inc"
"87424",1,4.859355,"Taleo Corp"
"58758",1,4.846334,"Mercator Software Inc"
"45056",1,4.845021,"IBS AG"
"63735",1,4.843336,"NRI Data Services"
"25063",1,4.840953,"Destiny Media Technologies Inc"
"78441",1,4.837297,"SLM Software Inc"
"63079",1,4.833922,"Napster Inc"
"68340",1,4.808299,"Onyx Software Corp"
"64108",1,4.800243,"NetOne Corp"
"98431",1,4.798967,"Yahoo Japan Corp"
"59139",1,4.79811,"MetaSolv Software Inc"
"92230",1,4.795625,"VASCO Data Security Intl Inc"
"48360",1,4.789548,"Kana Communications Inc"
"46173",1,4.788616,"Integrated Systems Engineering"
"53625",1,4.7869,"Lionbridge Technologies Inc"
"92532",1,4.770142,"Vertigo Software Corp"
"G6754",1,4.766217,"OpenTV Corp"
"76115",1,4.758878,"Resonate Inc"
"75968",1,4.755511,"Renaissance Learning Inc"
"11208",1,4.72981,"Brokat AG"
"86459",1,4.726618,"SuccessFactors Inc"
"21868",1,4.726015,"Corel Corp"
"59284",1,4.718517,"Baltimore Technologies PLC"
"89677",1,4.71017,"Triton Distribution Sys Inc"
"56510",1,4.709836,"MapInfo Corp"
"73621",1,4.705043,"Portellus Inc"
"90000",1,4.69232,"Turbolinux Inc"
"18046",1,4.690715,"Clarent Corp"
"29683",1,4.686492,"American Software Inc"
"56752",1,4.68545,"Baidu.com Inc"
"45336",1,4.681251,"InContext Systems Inc"
"75064",1,4.658123,"Rage Software PLC"
"27874",1,4.647635,"Echelon Corp"
"86765",1,4.637995,"Sunquest Information Systems"
"59861",1,4.632824,"Migo Software Inc"
"77830",1,4.632698,"Ross Systems Inc"
"23812",1,4.631033,"Datastream Systems Inc"
"62924",1,4.62998,"NMS Communications Corp"
"56621",1,4.626843,"March Networks Corp"
"90458",1,4.621221,"Unica Corp"
"70557",1,4.608295,"Pegasystems Inc"
"84761",1,4.598689,"Spectre Gaming Inc"
"45234",1,4.565857,"Aspect Development Inc"
"22890",1,4.561876,"Cryptolex Trust Systems Inc"
"58413",1,4.558362,"MedCAREERS JV LLC"
"25541",1,4.552876,"DivX Inc"
"56624",1,4.546068,"Marchex Inc"
"90225",1,4.54542,"Tyler Technologies Inc"
"65162",1,4.544443,"NewMarket Technology Inc"
"79970",1,4.543486,"Sanchez Computer Assoc Inc"
"25380",1,4.542731,"Digimarc Corp"
"36236",1,4.538314,"GT Interactive Software Corp"
"89845",1,4.533696,"TRX Inc"
"98375",1,4.530242,"XperEx Corp"
"78407",1,4.525737,"SCS Corp."
"31812",1,4.49274,"Firearms Training Systems Inc"
"25591",1,4.492416,"DocuCorp International Inc"
"60692",1,4.489625,"Mobius Management Systems Inc"
