cusip1,cusip2
"45766","74790"
"64121","16166"
"80305","42823"
"45677","74406"
"90492","46615"
"26795","16980"
"02364","58504"
"45727","58504"
"02364","48329"
"45234","34537"
"54570","03833"
"97659","03833"
"45992","83168"
"77830","07177"
"30728","87671"
"83402","87924"
"89256","60682"
"89223","60682"
"13469","60682"
"89256","46606"
"89223","46606"
"13469","46606"
"59491","53071"
"59491","91130"
"59491","83401"
"59491","G3921"
"45812","60677"
"45812","43357"
"45812","62905"
"43709","45920"
"74168","25152"
"88733","11122"
"911","00265"
"29173","34537"
"77830","04941"
"77830","86125"
"87150","1957"
"27032","1957"
"50011","65443"
"21868","01849"
"02364","45920"
"02364","24702"
"02364","92826"
"02364","88731"
"87482","46063"
"54946","75626"
"54946","41308"
"69399","83396"
"82617","54946"
"10138","25665"
"45898","40038"
"21868","00845"
"00724","98412"
"89290","76720"
"89290","76720"
"59491","20271"
"59491","24702"
"04033","00036"
"88872","36255"
"59491","88511"
"48361","90442"
"24717","42823"
"59491","83401"
"59491","88074"
"72702","12686"
"71271","70504"
"80183","20449"
"68389","20449"
"71271","24715"
"98433","29247"
"07468","29247"
"53631","29247"
"92673","59018"
"86572","97655"
"87614","91273"
"53012","58440"
"82617","44946"
"46575","82632"
"45704","45292"
"21867","05359"
"B5628","63764"
"41145","91131"
"70467","91131"
"55939","98970"
"24342","29585"
"68370","99008"
"68375","99008"
"69459","72810"
"51767","72810"
"41145","22766"
"86473","22766"
"98891","50146"
"59491","37957"
"11141","90334"
"83402","85206"
"02364","88870"
"41586","91854"
"41586","30157"
"74833","05335"
"21089","86681"
"02364","38238"
"59491","48335"
"87150","23268"
"20491","91087"
"23472","68210"
"30606","68210"
"87150","42823"
"44907","45920"
"87951","31730"
"68340","05587"
"74588","64115"
"29336","90001"
"45665","36233"
"02364","60268"
"27032","60268"
"59491","83401"
"59491","88910"
"02364","89144"
"24823","53245"
"59491","87956"
"02364","97737"
"02368","60054"
"23251","04626"
"30152","14433"
"05703","14433"
"87939","42823"
"06838","83585"
"86876","83538"
"46120","33594"
"17299","63760"
"88553","45920"
"45909","35177"
"61537","23443"
"73325","14791"
"02364","37833"
"28327","82963"
"67441","83396"
"70560","36156"
"09039","81603"
"39917","01376"
"17737","20449"
"82617","26483"
"02364","36232"
"04033","87294"
"45296","482II"
"45710","64880"
"91289","95709"
"36259","47099"
"98370","45809"
"77432","79605"
"46120","87819"
"48213","92923"
"21832","72002"
"89318","60676"
"89318","97737"
"92673","92553"
"48361","34546"
"88632","76132"
"88632","86681"
"35171","66257"
"04314","51094"
"87113","78716"
"85920","01541"
"85920","04651"
"85920","38107"
"85920","01541"
"85920","04651"
"85920","38107"
"34960","01541"
"34960","04651"
"34960","38107"
"24778","01541"
"24778","04651"
"24778","38107"
"29287","42823"
"64097","23309"
"86742","93164"
"24823","77049"
"B5628","39948"
"B5628","44325"
"16924","40065"
"98891","98389"
"46120","43689"
"59497","35843"
"24823","67010"
"62643","63252"
"94908","68306"
"94908","74301"
"59491","19387"
"59491","87969"
"59491","98962"
"73110","87088"
"64121","42823"
"82617","50186"
"91850","45815"
"07049","88355"
"28231","78425"
"80305","55977"
"92039","09057"
"00508","63671"
"55916","55918"
"75064","78484"
"62863","20589"
"91729","25378"
"02364","26209"
"78716","80111"
"78716","07271"
"30265","26785"
"93143","45048"
"28551","G7342"
"12738","87403"
"00097","40200"
"11223","73868"
"84925","60851"
"98148","98779"
"M1563","24713"
"73325","60782"
"11141","29585"
"33762","10637"
"80609","28201"
"48361","75014"
"20670","77957"
"68340","03353"
"75409","45920"
"55288","98975"
"56275","90321"
"77830","50272"
"31794","71419"
"48213","60682"
"64114","45920"
"83545","42823"
"23959","08163"
"77830","72013"
"67000","74772"
"72362","74772"
"77830","31856"
"90492","45872"
"45792","42823"
"83337","63089"
"36977","15099"
"02364","00181"
"29690","42823"
"45773","46451"
"55610","86681"
"38348","16117"
"42979","16117"
"05275","46571"
"05275","75628"
"05275","904JV"
"45792","46571"
"45792","75628"
"45792","904JV"
"89318","46571"
"89318","75628"
"89318","904JV"
"77830","36877"
"77830","73526"
"30316","74376"
"77830","02136"
"85219","87947"
"23258","82675"
"89190","36959"
"04099","36959"
"89190","86681"
"04099","86681"
"77830","58635"
"77830","59128"
"74337","15626"
"77830","06018"
"77830","74253"
"77830","44089"
"67442","03021"
"33785","00763"
"64114","86681"
"81886","83615"
"45749","83615"
"81886","45840"
"45749","45840"
"88553","62942"
"68397","36916"
"77830","91074"
"77830","36442"
"59491","12416"
"59491","62942"
"59491","62942"
"59491","67849"
"28551","69391"
"29391","62929"
"46612","19387"
"67124","88874"
"82854","36225"
"23800","36225"
"51619","36225"
"12637","36225"
"59139","41387"
"44854","50049"
"60921","50049"
"45839","72582"
"68217","64107"
"20491","63084"
"45907","26874"
"27782","50057"
"60755","36845"
"60755","45900"
"59494","98399"
"21868","42823"
"46276","37925"
"08860","37925"
"63008","12579"
"12738","05374"
"04960","78515"
"37948","45664"
"59491","45092"
"M8789","50263"
"64114","92856"
"98153","92856"
"55081","92856"
